,Title,Developer(s),Publisher(s),Regions released,Regions released,Regions released,Ref.
1679,Keiba Saisho no Housoku '97 Vol. 2: To Hit,Shangri-La,Shangri-La,"October 16, 1997",Unreleased,Unreleased,
1680,Keiba Saisho no Housoku '99 Aki Fuyu,Shangri-La,Shangri-La,"October 21, 1999",Unreleased,Unreleased,
1681,Kekkon: Marriage,West One,Shogakukan,"October 10, 1996",Unreleased,Unreleased,
1682,Kenki Ippatsu! Crane Master ni Narou!,"DDL, Inc.",FAB Communications,"August 3, 2000",Unreleased,Unreleased,
1683,Kenki Ippatsu! Shovel Master ni Narou!,"DDL, Inc.",FAB Communications,"August 3, 2000",Unreleased,Unreleased,
1684,Kensei: The King of Boxing•Victory Boxing Champion EditionPAL,Victor Interactive Software,Victor Interactive Software,"November 15, 1996",December 1996,Unreleased,
1685,Kensei: Sacred Fist,Konami,KCET,"November 19, 1998",1998,"November 30, 1998",
1686,Kero Kero King,Amedio,Media Factory,"November 2, 2000",Unreleased,Unreleased,
1687,Khamrai,Alpha Unit,Namco,"October 5, 2000",Unreleased,Unreleased,
1688,Kickboxing•Kickboxing KnockoutEU•Simple 1500 Series Vol. 64: The KickboxingJP,Jorudan,Agetec Inc.,"July 5, 2002",Unreleased,"March 1, 2002",
1689,Kick Off World,Anco Software,Funsoft,Unreleased,June 1998,Unreleased,
1690,Kid Klown in Crazy Chase 2: Love Love Hani Soudatsusen,Kemco,Kemco,"December 6, 1996",Unreleased,Unreleased,
1691,Kid Mix Section: Character Collection,Kid,Kid,"June 28, 2001",Unreleased,Unreleased,
1692,Kidou Butouden G Gundam: The Battle,Natsume,Bandai,"October 10, 2002",Unreleased,Unreleased,
1693,Kidou Keisatsu Patlabor: Game Edition,Bandai Visual,Bandai Visual,"November 30, 2000",Unreleased,Unreleased,
1694,Kidou Senki Gundam W: The Battle,Natsume,Bandai,"October 10, 2002",Unreleased,Unreleased,
1695,Kidou Senshi Gundam Version 2.0,Bec,Bandai,"March 29, 1996",Unreleased,Unreleased,
1696,Kidou Senshi Gundam: Giren no Yabou- Zeon no Keifu,Bandai,Bandai,"February 10, 2000",Unreleased,Unreleased,
1697,Kidou Senshi Gundam: Giren no Yabou- Zeon no Keifu – Kouryaku Shireisho,Bandai,Bandai,"June 29, 2000",Unreleased,Unreleased,
1698,Kidou Senshi Gundam: The Gunjin Shogi,Amedio,Bandai,"October 25, 2001",Unreleased,Unreleased,
1699,Kiganjo,Kodansha,Kodansha,"December 22, 1999",Unreleased,Unreleased,
1700,Kikansha Thomas to Nakamatachi,Bandai,Bandai,"September 21, 2000",Unreleased,Unreleased,
1701,Kikuni Masahiko: Warau Fukei-san Pachi-Slot Hunter,Forum,Forum,"December 9, 1994",Unreleased,Unreleased,
1702,"Kileak: The DNA Imperative•Kileak: The BloodJP,PAL",Genki,SCEA,"January 27, 1995","September 29, 1995","September 9, 1995",
1703,Killer Loop,Crave Entertainment,VCC Entertainment,Unreleased,"November 9, 1999","October 31, 1999",
1704,Killing Zone,Scarab,"Naxat SoftJP, AcclaimNA","March 29, 1996",Unreleased,"September 13, 1996",
1705,Kimagure My Baby,Axela,ASK,"September 10, 1998",Unreleased,Unreleased,
1706,Kimero!! Hero Gakuen: Eiyuu ni Shinjutsu Nashi,Central Systems,Central Systems,"March 23, 2000",Unreleased,Unreleased,
1707,Kimi ni Steady,CD Bros.,CD Bros.,"September 28, 2000",Unreleased,Unreleased,
1708,"Kimi no Kimochi, Boku no Kokoro",Japan Media Programming,Takara,"September 14, 1999",Unreleased,Unreleased,
1709,Kindaichi Shounen no Jikenbo: Hihoushima Aratanaru Sangeki,Digital Frontier,Kodansha,"November 29, 1996",Unreleased,Unreleased,
1710,Kindaichi Shounen no Jikenbo: Jigoku Yuuen Satsujin Jiken,Digital Frontier,Kodansha,"March 26, 1998",Unreleased,Unreleased,
1711,Kindaichi Shounen no Jikenbo 3: Shouryuu Densetsu Satsujin Jiken,Digital Frontier,Kodansha,"August 5, 1999",Unreleased,Unreleased,
1712,King of Bowling,Coconuts Japan,Aisystem Tokyo,"September 29, 1995",Unreleased,Unreleased,
1713,King of Bowling 2,Coconuts Japan,Midas Interactive,"August 27, 1998","September 1, 2000",Unreleased,
1714,King of Bowling 3,DigiCube,Phoenix Games,Unreleased,"June 27, 2003",Unreleased,
1715,The King of Fighters '95,SNK,SNK,"June 28, 1996",June 1996,"August 31, 1996",
1716,The King of Fighters '96,SNK,SNK,"July 30, 1997",Unreleased,Unreleased,
1717,The King of Fighters '97,SNK,SNK,"May 28, 1998",Unreleased,Unreleased,
1718,The King of Fighters '98,SNK,SNK,"March 25, 1999",Unreleased,Unreleased,
1719,The King of Fighters '99,SNK,SNK,"March 23, 2000",Unreleased,"April 22, 2001",
1720,The King of Fighters: Kyo,Yumekobo,SNK,"November 27, 1998",Unreleased,Unreleased,
1721,King of Parlor,TEN,TEN,"October 18, 1996",Unreleased,Unreleased,
1722,King of Parlor 2,TEN,TEN,"June 11, 1998",Unreleased,Unreleased,
1723,King of Producer,Aqua Rouge,GMF,"December 11, 1997",Unreleased,Unreleased,
1724,King of Stallion,Nihon Bussan,Nihon Bussan,"July 26, 1996",Unreleased,Unreleased,
1725,Kingsley's Adventure,Psygnosis,Psygnosis,Unreleased,"October 22, 1999","October 7, 1999",
1726,King's Field,FromSoftware,FromSoftware,"December 16, 1994",Unreleased,Unreleased,
1727,"King's Field IIJP•King's FieldPAL,NA",FromSoftware,"FromSoftwareJP, ASCII EntertainmentNA, SCEEPAL","July 21, 1995",December 1995,"October 11, 1996",
1728,King's Field IIIJP•King's Field IINA,FromSoftware,"FromSoftwareJP, ASCII EntertainmentNA","June 21, 1996",Unreleased,"November 20, 1996",
1729,Kinniku Banzuke: Road to Sasuke,Konami,Konami,"April 27, 2000",Unreleased,Unreleased,
1730,Kinniku Banzuke Vol. 1: Ore ga Saikyou no Otoko,Konami,Konami,"December 16, 1999",Unreleased,Unreleased,
1731,Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,Konami,Konami,"March 23, 2000",Unreleased,Unreleased,
1732,Kinniku Banzuke Vol. 3 – Saikyou no Challenger Tanjyou!,Konami,Konami,"December 21, 2000",Unreleased,Unreleased,
1733,Kirikou,Étranges Libellules,Wanadoo,Unreleased,"November 9, 2001",Unreleased,
1734,Kisha de Go!,Taito,Taito,"March 23, 2000",Unreleased,Unreleased,
1735,Kishu Michi,SunSoft,SunSoft,"September 7, 2000",Unreleased,Unreleased,
1736,Kita Denshi Virtua Pachi-Slot,Map Japan,Map Japan,"January 28, 1999",Unreleased,Unreleased,
1737,Kita Denshi Virtua Pachi-Slot 2,Map Japan,Map Japan,"May 2, 2000",Unreleased,Unreleased,
1738,Kiss Pinball,Wildfire Studios,Take-Two Interactive,Unreleased,Unreleased,"April 25, 2001",
1739,Kitchen Panic,Panther Software,Panther Software,"May 28, 1998",Unreleased,Unreleased,
1740,Kitty the Kool!,Imagineer,Imagineer,"November 26, 1998",Unreleased,Unreleased,
1741,Kiwame Daidougi: Tsumuya Tsumazaruya,Mycom,Mycom,"June 21, 1996",Unreleased,Unreleased,
1742,Kizuna Toiu Na no Pendant,Stack,NEC Interchannel,"April 6, 2000",Unreleased,Unreleased,
1743,KKND2: Krossfire,Krome Studios Melbourne,Krome Studios Melbourne,Unreleased,"April 15, 1999",Unreleased,
1744,Klaymen Gun-Hockey,KIDSMIND Inc.,Riverhillsoft,"November 25, 1999",Unreleased,Unreleased,
1745,Klaymen Klaymen: The Neverhood Chronicles•The NeverhoodNA,"The Neverhood, Riverhill Soft",DreamWorks Interactive,"April 23, 1998",Unreleased,Unreleased,
1746,Klonoa: Door to Phantomile,Namco,Namco,"December 11, 1997","June 5, 1998",June 1998,
1747,Klonoa Beach Volleyball,Namco,Namco,"April 25, 2002","September 20, 2002",Unreleased,
1748,Knockout Kings 99,EA Sports,Black Ops Entertainment,Unreleased,1998,"October 31, 1998",
1749,Knockout Kings 2000,EA Sports,Black Ops Entertainment,Unreleased,1999,"October 31, 1999",
1750,Knockout Kings 2001,EA Sports,Black Ops Entertainment,Unreleased,Unreleased,"October 30, 2000",
1751,KO the Live Boxing,Altron,Altron,"June 4, 1998",Unreleased,Unreleased,
1752,Kochira Katsushikaku Kameari Kouenzen: Hashutsujo – High-Tech Building Shinkou Soshi Sakusen! no Kan,Aisystem Tokyo,Bandai,"July 24, 1997",Unreleased,Unreleased,
1753,Kogepan: Pan mo Game o Yarurashii...,AIA,AIA,"December 12, 2002",Unreleased,Unreleased,
1754,Koh 2: Shogun,Rythmics,ASK,"October 26, 2000",Unreleased,Unreleased,
1755,Koi Yohou,PrincessSoft,PrincessSoft,"July 26, 2001",Unreleased,Unreleased,
1756,Kojin Kyouju: La Lecon Particuliere,Mycom,Mycom,"April 9, 1998",Unreleased,Unreleased,
1757,Kokohore! Pukka: Dig-a-Dig Pukka,SCEI,SCEI,"December 7, 2000",Unreleased,Unreleased,
1758,Komocchi,Open Sesame,Victor Interactive Software,"September 20, 2001",Unreleased,Unreleased,
1759,Konami Antiques MSX Collection Vol. 1,Konami,Konami,"November 20, 1997",Unreleased,Unreleased,
1760,Konami Antiques MSX Collection Vol. 2,Konami,Konami,"January 22, 1998",Unreleased,Unreleased,
1761,Konami Antiques MSX Collection Vol. 3,Konami,Konami,"March 19, 1998",Unreleased,Unreleased,
1762,Konami Arcade Classics,Konami,Konami,"May 13, 1999",Unreleased,"November 30, 1999",
1763,Konohana: True Report,Vridge,Success,"April 26, 2001",Unreleased,Unreleased,
1764,Konyamo Dorubako!!,Hearty Robin,Hearty Robin,"March 11, 1999",Unreleased,Unreleased,
1765,Konyamo Dorubako!! 2000,Hearty Robin,Hearty Robin,"January 13, 2000",Unreleased,Unreleased,
1766,Konyamo Dorubako!! 2001,Hearty Robin,Hearty Robin,"December 13, 2001",Unreleased,Unreleased,
1767,Koro Koro Post Nin,Media Entertainment,Media Entertainment,"January 1, 2002",Unreleased,Unreleased,[71]
1768,Kosodate Quiz: My Angel,Namco,Namco,"November 13, 1997",Unreleased,Unreleased,
1769,Kosodate Quiz: Motto My Angel,Namco,Namco,"March 25, 1999",Unreleased,Unreleased,
1770,Koten Tsugoshuu: Shijin no Kan,Vap,Vap,"February 2, 1996",Unreleased,Unreleased,
1771,Kotetsu Reiki: Steeldom,Technosoft,Technosoft,"August 30, 1996",Unreleased,Unreleased,
1772,Kotobuki Grand Prix,Syscom,Midas Interactive Entertainment,"April 8, 1999","February 7, 2003",Unreleased,
1773,Kōshien V,Magical Company,Magical Company,"May 16, 1997",Unreleased,Unreleased,
1774,Kouashi Kikou Shidan: Bein Panzer,Aprize Inc.,SCEI,"October 12, 2000",Unreleased,Unreleased,
1775,Koudelka,Sacnoth,"JPNA SNK, Infogrames","December 16, 1999","September 29, 2000","June 29, 2000",
1776,Kouryuu Sangoku Engi,Xing Entertainment,Xing Entertainment,"November 29, 1996",Unreleased,Unreleased,
1777,Kouryuuki,Koei,Koei,"March 26, 1998",Unreleased,Unreleased,
1778,Kouyasai,Astrovision,Shoeisha,"February 25, 1999",Unreleased,Unreleased,
1779,Kowai Shashin,Media Entertainment,Media Entertainment,"July 25, 2002",Unreleased,Unreleased,
1780,Kowloon Jou,Media Rings,Media Rings,"December 7, 2000",Unreleased,Unreleased,
1781,Kowloon's Gate,Zeque,Sony Music Entertainment,"February 28, 1997",Unreleased,Unreleased,
1782,Krazy Ivan,Psygnosis,Psygnosis,"October 4, 1996",January 1996,"February 15, 1996",
1783,Kula World•KulaQuestJP•Roll AwayNA,Game Design Sweden AB,Psygnosis,"May 27, 1999",July 1998,"November 30, 1998",
1784,Kuma no Pooh Tarou: Karaha Pinkuda! Zenin shuugou!! (Sore da messu),Shogakukan,Shogakukan,"January 13, 1996",Unreleased,Unreleased,
1785,Kuma no Pooh-San: Mori no Nakamato 123,Atlus,Atlus,"November 15, 2001",Unreleased,Unreleased,
1786,Kumitate Battle: Kuttu Ketto,TechnoSoft,TechnoSoft,"March 12, 1998",Unreleased,Unreleased,
1787,Kunoichi Torimonochou,Polestar,GMF,"February 25, 1999",Unreleased,Unreleased,
1788,Kuon no Kizuna,Fog,Fog,"December 3, 1998",Unreleased,Unreleased,
1789,Kurashi no Manner,Sol,D3Publisher,"February 14, 2002",Unreleased,Unreleased,
1790,Kuro no Juusan,Tonkin House,Tonkin House,"September 27, 1996",Unreleased,Unreleased,
1791,Kuro no Ken: Blade of the Darkness,CD Bros.,CD Bros.,"October 9, 1997",Unreleased,Unreleased,
1792,Kuroi Hitomi no Noir: Cielgris Fantasm (Noir Yuex Noire),Gust,Gust,"July 1, 1999",Unreleased,Unreleased,
1793,Kurt Warner's Arena Football Unleashed,Midway,Midway,Unreleased,Unreleased,"May 18, 2000",
1794,Kuru Kuru Cube,Nousite,Nousite,"November 9, 2000",Unreleased,Unreleased,
1795,Kuru Kuru Panic,Kool Kizz,Kool Kizz,"December 20, 1996",Unreleased,Unreleased,
1796,KuruKuru MaruMaru,Japan Art Media (JAM),Hudson,"March 1, 2001",Unreleased,Unreleased,
1797,KuruKuru Twinkle: Onegai Ohoshisama,Tomcat System,Tomy Corporation,"October 4, 1996",Unreleased,Unreleased,
1798,Kurumi Miracle,Banpresto,Banpresto,"September 25, 1997",Unreleased,Unreleased,
1799,Kururin Pa!,Sky Think Systems,Sky Think Systems,"July 7, 1995",Unreleased,Unreleased,
1800,Kuubo Senki,General Support,Unbalance,"February 4, 1999",Unreleased,Unreleased,
1801,Kyoro-chan no Purikura Daisakusen,Kan's,Tomy Corporation,"February 11, 1999",Unreleased,Unreleased,
1802,Kyoto Bugi Monogatari,Visit,Visit,"June 21, 2001",Unreleased,Unreleased,
1803,Kyoufu Shinbun,Atelier Double,Yutaka,"January 24, 1997",Unreleased,Unreleased,
1804,Kyoutei Wars: Mark 6,ParityBit,Enterbrain,"July 5, 2002",Unreleased,Unreleased,
1805,Kyuin,Media Entertainment,Media Entertainment,"May 31, 1996",Unreleased,Unreleased,
1806,Kyuukuoku no Soukoban,Thinking Rabbit,Itochu,"September 13, 1996",Unreleased,Unreleased,
1807,L no Kisetsu: A piece of memories,Tonkin House,Tonkin House,"August 5, 1999",Unreleased,Unreleased,
1808,Lagnacure,Artdink,Sony Music Entertainment,"October 2, 1997",Unreleased,Unreleased,
1809,Lagnacure Legend,Artdink,Artdink,"July 6, 2000",Unreleased,Unreleased,
1810,Lake Masters,Nexus Interact,Dazz,"August 2, 1996",Unreleased,Unreleased,
1811,Lake Masters 2,Nexus Interact,Dazz,"July 9, 1998",Unreleased,Unreleased,
1812,Lake Masters Pro,Nexus Interact,Dazz,"September 14, 1999",Unreleased,Unreleased,
1813,The Land Before Time: Big Water Adventure,Digital Illusions,TDK Mediactive,Unreleased,Unreleased,"November 27, 2002",
1814,The Land Before Time: Great Valley Racing Adventure,Vision Scape,TDK Mediactive,Unreleased,Unreleased,"May 4, 2001",
1815,The Land Before Time: Return to the Great Valley,Realtime Associates,Sound Source,Unreleased,Unreleased,"September 15, 2000",
1816,Langrisser I & II,NCS,NCS,"July 31, 1997",Unreleased,Unreleased,
1817,Langrisser IV & V Final Edition,NCS,NCS,"January 28, 1998",Unreleased,Unreleased,
1818,Largo Winch.//Commando Sar,Rebellion,Ubisoft,Unreleased,"September 6, 2002","February 1, 2002",
1819,Las Vegas Dream 2,Dice,Imagineer,"February 28, 1997",Unreleased,Unreleased,
1820,The Last Blade,SNK,SNK,"February 25, 1999",Unreleased,Unreleased,
1821,The Last Report,Microids,"MicroidsPAL, ShoueiJP","August 6, 1998",March 1998,Unreleased,
1822,Lattice: 200EC7,Nousite,Hamster,"April 27, 2000",Unreleased,Unreleased,
1823,Le Concert ff,SAME Creative Inc.,Warashi,"December 9, 1999",Unreleased,Unreleased,
1824,Le Concert pp,SAME Creative Inc.,Warashi,"December 9, 1999",Unreleased,Unreleased,
1825,Leading Jockey '99,Harvest One,Harvest One,"April 1, 1999",Unreleased,Unreleased,
1826,Leading Jockey: Highbred,Harvest One,Harvest One,"October 10, 1996",Unreleased,Unreleased,
1827,Legacy of Kain: Soul Reaver,Crystal Dynamics,SCEA,Unreleased,1999,"August 16, 1999",
1828,Legend,Toka,Funsoft,Unreleased,"December 15, 1998",Unreleased,
1829,The Legend of Dragoon,SCEI,SCEA,"December 2, 1999","January 19, 2001","June 11, 2000",
1830,The Legend of Heroes I & II: Eiyuu Densetsu,Falcom,GMF,"June 25, 1998",Unreleased,Unreleased,
1831,The Legend of Heroes III: Shiroki Majo,Falcom,GMF,"March 19, 1998",Unreleased,Unreleased,
1832,The Legend of Heroes IV: Akai Shizuku,Falcom,GMF,"August 27, 1998",Unreleased,Unreleased,
1833,Legend of Legaia,Contrail,SCEA,"October 29, 1998","May 27, 2000","March 17, 1999",
1834,Legend of Mana•Seiken Densetsu: Legend of ManaJP,Square,"JPSquare, NASquare Electronic Arts","July 15, 1999",Unreleased,"June 7, 2000",
1835,Legend of Mulan,The Code Monkeys,Phoenix Games,Unreleased,2003,Unreleased,
1836,Legend of Pocahontas,The Code Monkeys,Midas Interactive,Unreleased,"April 12, 2002",Unreleased,
1837,Lego Island 2: The Brickster's Revenge,Silicon Dreams Studio,Lego Media,Unreleased,2001,March 2001,
1838,Lego no Sekai,Bandai,Bandai,"July 18, 2002",Unreleased,Unreleased,
1839,Lego Racers,High Voltage Software,Lego Media,Unreleased,September 1999,"December 17, 1999",
1840,Lego Rock Raiders,Data Design Interactive,Lego Media,Unreleased,1999,"August 17, 2000",
1841,Lemmings 3D•3D LemmingsPAL,Clockwork Games,"Psygnosis, SCE AustraliaAU, SCEIJP","November 8, 1996","September 29, 1995","November 21, 1995",
1842,Lemmings & Oh No! More Lemmings,Psygnosis,Psygnosis,Unreleased,Unreleased,"October 10, 1998",
1843,Let's Go Flyfishing,Victor Interactive Software,Victor Interactive Software,"January 21, 1999",Unreleased,Unreleased,
1844,Lethal Enforcers I & II,Konami,Konami,"November 20, 1997","November 20, 1997",November 1997,
1845,LiberoGrande,Namco,Namco,"November 26, 1998",1998,Unreleased,
1846,Liberogrande International•Liberogrande 2JP,Namco,"Namco, SCEEPAL","September 7, 2000",2000,Unreleased,
1847,LifeScape 2: Bosy Bionics,Scitron & Art,MediaQuest,"August 7, 1997",Unreleased,Unreleased,
1848,Light Fantasy Gaiden: Nyanyan ga Nyan,Tonkin House,Tonkin House,"October 21, 1999",Unreleased,Unreleased,
1849,Lightning Legend: Daigo no Daibouken,KCET,Konami,"December 20, 1996",Unreleased,Unreleased,
1850,Linda Cube Again,Alfa System,SCEI,"September 25, 1997",Unreleased,Unreleased,
1851,Ling Rise,Atelier Double,Epoch,"November 25, 1999",Unreleased,Unreleased,
1852,The Lion King: Simba's Mighty Adventure,Paradox Development,Activision,Unreleased,"March 9, 2001","December 22, 2000",
1853,Lion and the King,The Code Monkeys,Midas Interactive Entertainment,Unreleased,"April 13, 2001",Unreleased,
1854,Lion And The King 2,The Code Monkeys,Phoenix Games,Unreleased,2003,Unreleased,
1855,Liquid Books: Amrita's Tree Credito and the Coyote,Lightspan,Lightspan,Unreleased,Unreleased,1996,
1856,Liquid Books: Far-Fetched Frontier Tales,Lightspan,Lightspan,Unreleased,Unreleased,1996,
1857,Liquid Books: Lety's Favorite Stories,Lightspan,Lightspan,Unreleased,Unreleased,1996,
1858,Liquid Books: Pop-Out Prose,Lightspan,Lightspan,Unreleased,Unreleased,1996,
1859,Liquid Books: The Adventures of Adelita and Bo,Lightspan,Lightspan,Unreleased,Unreleased,1996,
1860,Liquid Books: The Wandering Path,Lightspan,Lightspan,Unreleased,Unreleased,1996,
1861,Little Big Adventure,Adeline Software International,Electronic Arts,"July 19, 1996",1997,Unreleased,
1862,Little Lovers: She So Game,OeRSTED,NTT,"September 2, 1999",Unreleased,Unreleased,
1863,Little Princess: Marl Ōkoku no Ningyō Hime 2,Nippon Ichi Software,Nippon Ichi Software,"November 25, 1999",Unreleased,Unreleased,
1864,Live Wire!,The Code Monkeys,SCi,Unreleased,April 1999,Unreleased,[72]
1865,LMA Manager,Codemasters,Codemasters,Unreleased,"September 15, 1999",Unreleased,
1866,LMA Manager 2001,Codemasters,Codemasters,Unreleased,"March 16, 2001",Unreleased,[73]
1867,LMA Manager 2002,Codemasters,Codemasters,Unreleased,"November 2, 2001",Unreleased,[74]
1868,Loaded,Gremlin Interactive,"InterplayNA, Gremlin InteractivePAL, Electronic Arts VictorJP","March 15, 1996",February 1996,"December 12, 1995",
1869,Lode Runner,Presage Soft,Natsume,Unreleased,Unreleased,"February 4, 1998",[75]
1870,Lode Runner 2,Success,Success,"March 30, 2000",Unreleased,Unreleased,
1871,Lode Runner Extra,Petra,Petra,"January 19, 1997",Unreleased,Unreleased,
1872,Lode Runner: The Legend Returns,Banpresto,Natsume,"February 16, 1996",Unreleased,Unreleased,
1873,Logic Mahjong Souryu,Nippon Ichi Software,Nippon Ichi Software,"December 20, 1996",Unreleased,Unreleased,
1874,Logic Mahjong Souryu: 3-Player Version,Nippon Ichi Software,Nippon Ichi Software,"May 4, 1999",Unreleased,Unreleased,
1875,Logic Pro Adventure,Aqua Rouge,Aqua Rouge,"March 1, 2001",Unreleased,Unreleased,
1876,Logic Puzzle Rainbow Town,Human Entertainment,Human Entertainment,"March 8, 1996",Unreleased,Unreleased,
1877,London Racer,Davilex,Davilex,Unreleased,"September 29, 2000",Unreleased,
1878,London Racer II,Kiss,Davilex,Unreleased,"June 14, 2002",Unreleased,
1879,London Seirei Tantei-dan,Bandai,Bandai,"May 20, 1999",Unreleased,Unreleased,
1880,Lone Soldier,Tempest Software,"TelstarPAL, Virgin InteractiveJP","October 4, 1996",January 1996,Unreleased,
1881,Looney Tunes Racing,Circus Freak,Infogrames,Unreleased,"March 16, 2001","November 13, 2000",
1882,Lord Monarch: Shin Gaia Oukokuki,Toshiba EMI,Toshiba EMI,"December 23, 1998",Unreleased,Unreleased,
1883,Lord of Monsters,SCEI,SCEI,"June 10, 1999",Unreleased,Unreleased,
1884,Lord of the Jungle,The Code Monkeys,Midas Interactive,Unreleased,"April 12, 2001",Unreleased,
1885,The Lost World: Jurassic Park,DreamWorks Interactive,Electronic Arts,"December 4, 1997","September 1, 1997","August 31, 1997",
1886,Louvre: The Final Curse,Visual Impact,Wanadoo,Unreleased,"November 16, 2001",Unreleased,
